Country Name,Region,Year,GDP_perCapita,population,urbanPopulation,PopulationAge15-64,PopulationAge65+,dieselFuelPrice,dieselFuelPrice_year-2,gasolinePrice,gasolinePrice_year-2,goodsImports,goodsExports,serviceImports,serviceExports,personalTransfers,schoolEnrollPrimary,airTransportDeparture,internationalTourism,mobileSubscriptionPer100People,broadbandSubscriptionPer100People,electricPowerConsumption,chargesOfIntellectualProperty,landArea
Belarus,Eastern Europe,2012,6940.159254,9464495.0,7164339.0,6689976.0,1325351.0,0.9,0.86,0.88,1.08,45008900000.0,45574300000.0,4066300000.0,6364100000.0,458600000.0,99.81443,14608.0,6129900.0,113.373886,26.88573466,3697.397484,106800000.0,202910.0
Belgium,Western Europe,2012,44673.11588,11106932.0,10856360.0,7271587.0,1954044.0,1.98,1.62,2.09,1.87,313264000000.0,300843000000.0,99257792540.0,106446000000.0,130868329.9,102.2561,132099.3425,7560000.0,111.077829,33.3052753,7988.524644,2822609814.0,30280.0
Bulgaria,Eastern Europe,2012,7378.02473,7305888.0,5331472.0,4923014.0,1374543.0,1.68,1.58,1.69,1.51,30407630000.0,25263630000.0,4142760000.0,7400520000.0,1028600000.0,100.3292,11826.0,6541000.0,146.9965584,18.15851452,4761.912583,184750000.0,108560.0
Costa Rica,North America,2012,9913.209959,4688000.0,3466588.0,3226281.0,365961.0,1.36,0.97,1.57,1.14,14270608616.0,8922635328.0,2224247112.0,6208551333.0,526787745.0,114.6695,40081.0,2343000.0,114.7201792,9.568984642,1942.832765,310560930.4,51060.0
Croatia,Eastern Europe,2012,13238.11795,4267558.0,2368751.0,2840765.0,776747.0,1.7,1.49,1.77,1.59,19232524954.0,11139866965.0,4017717449.0,12254259236.0,1121751426.0,96.37912,26456.0,10369000.0,115.7237473,21.39776781,3819.280253,307359863.6,55960.0
Dominican Republic,North America,2012,6110.369521,9930911.0,7527829.0,6364830.0,604514.0,1.35,1.03,1.58,1.23,17673300000.0,8935500000.0,2938500000.0,6140000000.0,4045400000.0,107.9563,2303.0,4563000.0,89.96346359,4.86989317,1499.358921,59200000.0,48310.0
El Salvador,North America,2012,3428.384736,6237923.0,4191073.0,3892529.0,457629.0,1.17,0.89,1.26,0.92,9159041661.0,4242229301.0,1336752991.0,1868022338.0,3886623977.0,112.3888,26622.0,1255000.0,138.6519199,3.881099526,915.689405,54681828.7,20720.0
Estonia,Northern Europe,2012,17534.42154,1322696.0,899089.0,879415.0,237883.0,1.76,1.57,1.76,1.54,15440881362.0,13807600113.0,3999632501.0,5994142364.0,109736809.7,100.9545,26778.0,2957000.0,151.1345197,26.41458812,6689.367776,61274606.29,42390.0
France,Western Europe,2012,40874.70351,65659809.0,51791144.0,42019756.0,11501589.0,1.78,1.72,1.91,1.98,630559000000.0,560945000000.0,202520000000.0,234314000000.0,678372078.1,102.5232,739353.5998,81980000.0,97.94818377,37.72562555,7363.423796,8754182545.0,547556.9922
Greece,Eastern Europe,2012,22242.68193,11045011.0,8505100.0,7214133.0,2178519.0,2.08,1.78,2.06,2.05,53157220535.0,27884573855.0,16053041350.0,35329588220.0,422918736.3,99.16412,111870.0,15518000.0,123.9228745,24.94570836,5534.897159,370769831.0,128900.0
Guatemala,North America,2012,3299.665605,15270778.0,7482681.0,8794041.0,664762.0,1.04,0.85,1.14,0.95,15837722938.0,10102700006.0,2539408924.0,2434970887.0,4933313000.0,108.8771,8091.0,1200000.0,136.1233169,1.835545828,532.6513161,84246400.0,107160.0
Honduras,North America,2012,2144.342611,8640691.0,4597020.0,5169252.0,353025.0,1.15,0.92,1.25,1.04,8620119101.0,4419765998.0,1649734962.0,2247143902.0,2891820587.0,96.52675,16760.0,895000.0,85.29449786,0.70916782,636.6388984,38670131.32,111890.0
