Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Bosnia and Herzegovina,BIH,..,0.68,1.13,..,1.42,..,1.59,..,1.51,..,1.05,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Botswana,BWA,..,0.42,0.88,..,0.93,..,1.23,..,1.06,..,0.71,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Brazil,BRA,..,0.92,1.26,..,1.58,..,1.39,..,1.27,..,1.02,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Brunei Darussalam,BRN,..,0.31,0.38,..,0.39,..,0.43,..,0.41,..,0.37,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Bulgaria,BGR,..,0.7,1.28,..,1.51,..,1.69,..,1.49,..,1.11,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Burkina Faso,BFA,..,0.68,1.38,..,1.44,..,1.43,..,1.4,..,0.98,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Burundi,BDI,..,1.01,1.39,..,1.43,..,1.47,..,1.53,..,1.21,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Cabo Verde,CPV,..,0.59,1.84,..,1.84,..,2.3,..,1.56,..,1.02,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Cambodia,KHM,..,0.61,0.94,..,1.15,..,1.35,..,1.34,..,0.9,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Cameroon,CMR,..,0.56,1.14,..,1.2,..,1.1,..,1.24,..,1.03,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Canada,CAN,..,0.58,0.76,..,1.21,..,1.32,..,1.17,..,0.81,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Central African Republic,CAF,..,..,1.44,..,1.71,..,1.71,..,1.69,..,1.41,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Chad,TCD,..,0.68,1.3,..,1.32,..,0.95,..,0.9,..,0.78,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Chile,CHL,..,0.64,0.95,..,1.38,..,1.56,..,1.52,..,1.03,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,China,CHN,..,0.4,0.99,..,1.11,..,1.37,..,1.17,..,0.96,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Colombia,COL,..,0.49,1.04,..,1.41,..,1.28,..,1.08,..,0.68,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,"Congo, Dem. Rep.",COD,..,1,1.23,..,1.28,..,1.48,..,1.68,..,1.49,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,"Congo, Rep.",COG,..,0.53,0.81,..,1.27,..,1.15,..,1.13,..,0.97,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Costa Rica,CRI,..,..,1.24,..,1.14,..,1.57,..,1.44,..,0.98,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Cote d'Ivoire,CIV,..,0.76,1.33,..,1.68,..,1.51,..,1.42,..,0.93,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Croatia,HRV,..,0.76,1.27,..,1.59,..,1.77,..,1.66,..,1.26,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Cuba,CUB,..,..,1.67,..,1.72,..,1.4,..,1.4,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Cyprus,CYP,..,0.57,1.28,..,1.47,..,1.77,..,1.61,..,1.23,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Czech Republic,CZE,..,0.77,1.37,..,1.75,..,1.93,..,1.67,..,1.17,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Denmark,DNK,..,1.01,1.54,..,2,..,2.02,..,2.01,..,1.55,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Djibouti,DJI,..,..,..,..,1.63,..,1.75,..,1.41,..,1.32,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Dominican Republic,DOM,..,0.71,1.04,..,1.23,..,1.58,..,1.41,..,1.07,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Ecuador,ECU,..,0.31,0.51,..,0.53,..,0.58,..,0.6,..,0.61,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,"Egypt, Arab Rep.",EGY,..,0.26,0.49,..,0.48,..,0.45,..,0.88,..,0.4,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,El Salvador,SLV,..,0.67,0.78,..,0.92,..,1.26,..,1.12,..,0.83,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Eritrea,ERI,..,0.56,2.53,..,2.54,..,2.49,..,3.33,..,2,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Estonia,EST,..,0.6,1.18,..,1.54,..,1.76,..,1.46,..,1.14,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Eswatini,SWZ,..,0.47,0.86,..,1.07,..,1.3,..,1.14,..,0.77,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Ethiopia,ETH,..,0.46,0.92,..,0.91,..,1.05,..,0.99,..,0.75,..,..,..
